"VarName","TimeString","VarValue","Validity","Time_ms"
"FIT-02","5/26/2019 10:03:48 PM",27.44948,0,43611919308.1366
"FIT-03","5/26/2019 10:03:48 PM",4.789782,0,43611919308.1366
"PIT-02","5/26/2019 10:03:48 PM",2.809245,0,43611919308.1366
"PIT-03","5/26/2019 10:03:48 PM",6.75094,0,43611919308.1366
"PIT-05","5/26/2019 10:03:48 PM",0.9512442,0,43611919308.1366
"PIT-06","5/26/2019 10:03:48 PM",4.579897,0,43611919308.1366
"FIT-01","5/26/2019 10:03:53 PM",31.75347,0,43611919366.0301
"FIT-02","5/26/2019 10:03:53 PM",27.44948,0,43611919366.0301
"FIT-03","5/26/2019 10:03:53 PM",4.789782,0,43611919366.0301
"PIT-02","5/26/2019 10:03:53 PM",2.809245,0,43611919366.0301
"PIT-03","5/26/2019 10:03:53 PM",6.75094,0,43611919366.0301
"PIT-05","5/26/2019 10:03:53 PM",0.9512442,0,43611919366.0301
"PIT-06","5/26/2019 10:03:53 PM",4.579897,0,43611919366.0301
"FIT-01","5/26/2019 10:03:58 PM",31.75347,0,43611919423.9236
"FIT-02","5/26/2019 10:03:58 PM",27.44948,0,43611919423.9236
"FIT-03","5/26/2019 10:03:58 PM",4.789782,0,43611919423.9236
"PIT-02","5/26/2019 10:03:58 PM",2.809245,0,43611919423.9236
"PIT-03","5/26/2019 10:03:58 PM",6.75094,0,43611919423.9236
"PIT-05","5/26/2019 10:03:58 PM",0.9512442,0,43611919423.9236
"PIT-06","5/26/2019 10:03:58 PM",4.579897,0,43611919423.9236
"FIT-01","5/26/2019 10:04:03 PM",31.75347,0,43611919481.794
"FIT-02","5/26/2019 10:04:03 PM",27.44948,0,43611919481.794
"FIT-03","5/26/2019 10:04:03 PM",4.789782,0,43611919481.794
"PIT-02","5/26/2019 10:04:03 PM",2.809245,0,43611919481.794
"PIT-03","5/26/2019 10:04:03 PM",6.75094,0,43611919481.794
"PIT-05","5/26/2019 10:04:03 PM",0.9512442,0,43611919481.794
"PIT-06","5/26/2019 10:04:03 PM",4.579897,0,43611919481.794
"FIT-01","5/26/2019 10:04:08 PM",31.75347,0,43611919539.6759
"FIT-02","5/26/2019 10:04:08 PM",27.44948,0,43611919539.6759
"FIT-03","5/26/2019 10:04:08 PM",4.789782,0,43611919539.6759
"PIT-02","5/26/2019 10:04:08 PM",2.809245,0,43611919539.6759
"PIT-03","5/26/2019 10:04:08 PM",6.75094,0,43611919539.6759
"PIT-05","5/26/2019 10:04:08 PM",0.9512442,0,43611919539.6759
"PIT-06","5/26/2019 10:04:08 PM",4.579897,0,43611919539.6759
"FIT-01","5/26/2019 10:04:13 PM",31.75347,0,43611919597.5463
"FIT-02","5/26/2019 10:04:13 PM",27.44948,0,43611919597.5463
"FIT-03","5/26/2019 10:04:13 PM",4.789782,0,43611919597.5463
"PIT-02","5/26/2019 10:04:13 PM",2.809245,0,43611919597.5463
"PIT-03","5/26/2019 10:04:13 PM",6.75094,0,43611919597.5463
"PIT-05","5/26/2019 10:04:13 PM",0.9512442,0,43611919597.5463
"PIT-06","5/26/2019 10:04:13 PM",4.579897,0,43611919597.5463
"FIT-01","5/26/2019 10:04:18 PM",31.75347,0,43611919655.4398
"FIT-02","5/26/2019 10:04:18 PM",27.44948,0,43611919655.4398
"FIT-03","5/26/2019 10:04:18 PM",4.789782,0,43611919655.4398
"PIT-02","5/26/2019 10:04:18 PM",2.809245,0,43611919655.4398
"PIT-03","5/26/2019 10:04:18 PM",6.75094,0,43611919655.4398
"PIT-05","5/26/2019 10:04:18 PM",0.9512442,0,43611919655.4398
"PIT-06","5/26/2019 10:04:18 PM",4.579897,0,43611919655.4398
"FIT-01","5/26/2019 10:04:23 PM",31.75347,0,43611919713.3218
"FIT-02","5/26/2019 10:04:23 PM",27.44948,0,43611919713.3218
"FIT-03","5/26/2019 10:04:23 PM",4.789782,0,43611919713.3218
"PIT-02","5/26/2019 10:04:23 PM",2.809245,0,43611919713.3218
"PIT-03","5/26/2019 10:04:23 PM",6.75094,0,43611919713.3218
"PIT-05","5/26/2019 10:04:23 PM",0.9512442,0,43611919713.3218
"PIT-06","5/26/2019 10:04:23 PM",4.579897,0,43611919713.3218
"FIT-01","5/26/2019 10:04:28 PM",31.75347,0,43611919771.2037
"FIT-02","5/26/2019 10:04:28 PM",27.44948,0,43611919771.2037
"FIT-03","5/26/2019 10:04:28 PM",4.789782,0,43611919771.2037
"PIT-02","5/26/2019 10:04:28 PM",2.809245,0,43611919771.2037
"PIT-03","5/26/2019 10:04:28 PM",6.75094,0,43611919771.2037
"PIT-05","5/26/2019 10:04:28 PM",0.9512442,0,43611919771.2037
"PIT-06","5/26/2019 10:04:28 PM",4.579897,0,43611919771.2037
"FIT-01","5/26/2019 10:04:33 PM",31.75347,0,43611919829.0741
"FIT-02","5/26/2019 10:04:33 PM",27.44948,0,43611919829.0741
"FIT-03","5/26/2019 10:04:33 PM",4.789782,0,43611919829.0741
"PIT-02","5/26/2019 10:04:33 PM",2.809245,0,43611919829.0741
"PIT-03","5/26/2019 10:04:33 PM",6.75094,0,43611919829.0741
"PIT-05","5/26/2019 10:04:33 PM",0.9512442,0,43611919829.0741
"PIT-06","5/26/2019 10:04:33 PM",4.579897,0,43611919829.0741
"FIT-01","5/26/2019 10:04:38 PM",31.75347,0,43611919887.0255
"FIT-02","5/26/2019 10:04:38 PM",27.44948,0,43611919887.0255
"FIT-03","5/26/2019 10:04:38 PM",4.789782,0,43611919887.0255
"PIT-02","5/26/2019 10:04:38 PM",2.809245,0,43611919887.0255
