"VarName","TimeString","VarValue","Validity","Time_ms"
"FIT-02","6/3/2019 8:19:06 AM",26.55259,1,43619346598.8773
"FIT-03","6/3/2019 8:19:06 AM",4.775803,1,43619346598.8773
"PIT-02","6/3/2019 8:19:06 AM",3.147425,1,43619346598.8773
"PIT-03","6/3/2019 8:19:06 AM",7.062898,1,43619346598.8773
"PIT-05","6/3/2019 8:19:06 AM",1.327402,1,43619346598.8773
"PIT-06","6/3/2019 8:19:06 AM",4.838505,1,43619346598.8773
"FIT-01","6/3/2019 8:19:11 AM",31.66088,1,43619346656.7477
"FIT-02","6/3/2019 8:19:11 AM",27.08396,1,43619346656.7477
"FIT-03","6/3/2019 8:19:11 AM",4.79808,1,43619346656.7477
"PIT-02","6/3/2019 8:19:11 AM",3.139467,1,43619346656.7477
"PIT-03","6/3/2019 8:19:11 AM",7.069227,1,43619346656.7477
"PIT-05","6/3/2019 8:19:11 AM",1.334635,1,43619346656.7477
"PIT-06","6/3/2019 8:19:11 AM",4.852069,1,43619346656.7477
"FIT-01","6/3/2019 8:19:16 AM",31.67245,1,43619346714.7454
"FIT-02","6/3/2019 8:19:16 AM",27.08396,1,43619346714.7454
"FIT-03","6/3/2019 8:19:16 AM",4.841964,1,43619346714.7454
"PIT-02","6/3/2019 8:19:16 AM",3.162977,1,43619346714.7454
"PIT-03","6/3/2019 8:19:16 AM",7.08912,1,43619346714.7454
"PIT-05","6/3/2019 8:19:16 AM",1.332827,1,43619346714.7454
"PIT-06","6/3/2019 8:19:16 AM",4.858398,1,43619346714.7454
"FIT-01","6/3/2019 8:19:21 AM",31.66667,1,43619346772.6273
"FIT-02","6/3/2019 8:19:21 AM",26.91388,1,43619346772.6273
"FIT-03","6/3/2019 8:19:21 AM",4.841964,1,43619346772.6273
"PIT-02","6/3/2019 8:19:21 AM",3.126447,1,43619346772.6273
"PIT-03","6/3/2019 8:19:21 AM",7.043005,1,43619346772.6273
"PIT-05","6/3/2019 8:19:21 AM",1.291594,1,43619346772.6273
"PIT-06","6/3/2019 8:19:21 AM",4.825846,1,43619346772.6273
"FIT-01","6/3/2019 8:19:26 AM",31.68403,1,43619346830.4977
"FIT-02","6/3/2019 8:19:26 AM",26.91388,1,43619346830.4977
"FIT-03","6/3/2019 8:19:26 AM",4.812834,1,43619346830.4977
"PIT-02","6/3/2019 8:19:26 AM",3.099682,1,43619346830.4977
"PIT-03","6/3/2019 8:19:26 AM",7.018591,1,43619346830.4977
"PIT-05","6/3/2019 8:19:26 AM",1.264468,1,43619346830.4977
"PIT-06","6/3/2019 8:19:26 AM",4.803241,1,43619346830.4977
"FIT-01","6/3/2019 8:19:31 AM",31.70718,1,43619346888.4028
"FIT-02","6/3/2019 8:19:31 AM",26.91388,1,43619346888.4028
"FIT-03","6/3/2019 8:19:31 AM",4.856988,1,43619346888.4028
"PIT-02","6/3/2019 8:19:31 AM",3.112703,1,43619346888.4028
"PIT-03","6/3/2019 8:19:31 AM",7.04843,1,43619346888.4028
"PIT-05","6/3/2019 8:19:31 AM",1.300275,1,43619346888.4028
"PIT-06","6/3/2019 8:19:31 AM",4.825846,1,43619346888.4028
"FIT-01","6/3/2019 8:19:36 AM",31.70718,1,43619346946.331
"FIT-02","6/3/2019 8:19:36 AM",26.45697,1,43619346946.331
"FIT-03","6/3/2019 8:19:36 AM",4.856988,1,43619346946.331
"PIT-02","6/3/2019 8:19:36 AM",3.111618,1,43619346946.331
"PIT-03","6/3/2019 8:19:36 AM",7.027633,1,43619346946.331
"PIT-05","6/3/2019 8:19:36 AM",1.278212,1,43619346946.331
"PIT-06","6/3/2019 8:19:36 AM",4.802337,1,43619346946.331
"FIT-01","6/3/2019 8:19:41 AM",31.70718,1,43619347004.294
"FIT-02","6/3/2019 8:19:41 AM",26.45697,1,43619347004.294
"FIT-03","6/3/2019 8:19:41 AM",4.754358,1,43619347004.294
"PIT-02","6/3/2019 8:19:41 AM",3.113426,1,43619347004.294
"PIT-03","6/3/2019 8:19:41 AM",7.02492,1,43619347004.294
"PIT-05","6/3/2019 8:19:41 AM",1.277488,1,43619347004.294
"PIT-06","6/3/2019 8:19:41 AM",4.814091,1,43619347004.294
"FIT-01","6/3/2019 8:19:46 AM",31.73032,1,43619347062.2222
"FIT-02","6/3/2019 8:19:46 AM",26.45697,1,43619347062.2222
"FIT-03","6/3/2019 8:19:46 AM",4.79808,1,43619347062.2222
"PIT-02","6/3/2019 8:19:46 AM",3.139467,1,43619347062.2222
"PIT-03","6/3/2019 8:19:46 AM",7.047526,1,43619347062.2222
"PIT-05","6/3/2019 8:19:46 AM",1.295573,1,43619347062.2222
"PIT-06","6/3/2019 8:19:46 AM",4.828559,1,43619347062.2222
"FIT-01","6/3/2019 8:19:51 AM",31.73611,1,43619347120.1157
"FIT-02","6/3/2019 8:19:51 AM",27.31618,1,43619347120.1157
"FIT-03","6/3/2019 8:19:51 AM",4.79808,1,43619347120.1157
"PIT-02","6/3/2019 8:19:51 AM",3.120298,1,43619347120.1157
"PIT-03","6/3/2019 8:19:51 AM",7.039388,1,43619347120.1157
"PIT-05","6/3/2019 8:19:51 AM",1.29702,1,43619347120.1157
"PIT-06","6/3/2019 8:19:51 AM",4.820421,1,43619347120.1157
"FIT-01","6/3/2019 8:19:56 AM",31.75926,1,43619347177.9861
"FIT-02","6/3/2019 8:19:56 AM",27.31618,1,43619347177.9861
"FIT-03","6/3/2019 8:19:56 AM",4.819922,1,43619347177.9861
"PIT-02","6/3/2019 8:19:56 AM",3.125362,1,43619347177.9861
"PIT-03","6/3/2019 8:19:56 AM",7.04843,1,43619347177.9861
"PIT-05","6/3/2019 8:19:56 AM",1.281829,1,43619347177.9861
"PIT-06","6/3/2019 8:19:56 AM",4.820421,1,43619347177.9861
"FIT-01","6/3/2019 8:20:01 AM",31.75347,1,43619347235.8565
"FIT-02","6/3/2019 8:20:01 AM",26.81165,1,43619347235.8565
"FIT-03","6/3/2019 8:20:01 AM",4.817987,1,43619347235.8565
"PIT-02","6/3/2019 8:20:01 AM",3.100043,1,43619347235.8565
"PIT-03","6/3/2019 8:20:01 AM",7.036675,1,43619347235.8565
"PIT-05","6/3/2019 8:20:01 AM",1.281105,1,43619347235.8565
"PIT-06","6/3/2019 8:20:01 AM",4.812283,1,43619347235.8565
"FIT-01","6/3/2019 8:20:06 AM",31.76505,1,43619347293.7384
"FIT-02","6/3/2019 8:20:06 AM",26.81165,1,43619347293.7384
"FIT-03","6/3/2019 8:20:06 AM",4.817987,1,43619347293.7384
"PIT-02","6/3/2019 8:20:06 AM",3.10583,1,43619347293.7384
"PIT-03","6/3/2019 8:20:06 AM",7.022208,1,43619347293.7384
"PIT-05","6/3/2019 8:20:06 AM",1.272786,1,43619347293.7384
"PIT-06","6/3/2019 8:20:06 AM",4.805049,1,43619347293.7384
"FIT-01","6/3/2019 8:20:11 AM",31.75926,1,43619347351.6088
"FIT-02","6/3/2019 8:20:11 AM",26.81165,1,43619347351.6088
"FIT-03","6/3/2019 8:20:11 AM",4.826384,1,43619347351.6088
"PIT-02","6/3/2019 8:20:11 AM",3.14634,1,43619347351.6088
"PIT-03","6/3/2019 8:20:11 AM",7.060185,1,43619347351.6088
"PIT-05","6/3/2019 8:20:11 AM",1.3057,1,43619347351.6088
"PIT-06","6/3/2019 8:20:11 AM",4.836697,1,43619347351.6088
"FIT-01","6/3/2019 8:20:16 AM",31.77662,1,43619347409.4907
"FIT-02","6/3/2019 8:20:16 AM",26.6726,1,43619347409.4907
"FIT-03","6/3/2019 8:20:16 AM",4.828974,1,43619347409.4907
"PIT-02","6/3/2019 8:20:16 AM",3.111256,1,43619347409.4907
"PIT-03","6/3/2019 8:20:16 AM",7.036675,1,43619347409.4907
"PIT-05","6/3/2019 8:20:16 AM",1.268446,1,43619347409.4907
"PIT-06","6/3/2019 8:20:16 AM",4.80957,1,43619347409.4907
"FIT-01","6/3/2019 8:20:21 AM",31.76505,1,43619347467.3611
"FIT-02","6/3/2019 8:20:21 AM",26.6726,1,43619347467.3611
"FIT-03","6/3/2019 8:20:21 AM",4.828974,1,43619347467.3611
"PIT-02","6/3/2019 8:20:21 AM",3.144531,1,43619347467.3611
"PIT-03","6/3/2019 8:20:21 AM",7.061994,1,43619347467.3611
"PIT-05","6/3/2019 8:20:21 AM",1.29702,1,43619347467.3611
"PIT-06","6/3/2019 8:20:21 AM",4.832176,1,43619347467.3611
"FIT-01","6/3/2019 8:20:26 AM",31.75926,1,43619347525.2546
"FIT-02","6/3/2019 8:20:26 AM",26.6726,1,43619347525.2546
"FIT-03","6/3/2019 8:20:26 AM",4.820568,1,43619347525.2546
"PIT-02","6/3/2019 8:20:26 AM",3.106915,1,43619347525.2546
"PIT-03","6/3/2019 8:20:26 AM",7.028537,1,43619347525.2546
"PIT-05","6/3/2019 8:20:26 AM",1.28219,1,43619347525.2546
"PIT-06","6/3/2019 8:20:26 AM",4.816804,1,43619347525.2546
"FIT-01","6/3/2019 8:20:31 AM",31.75347,1,43619347583.125
"FIT-02","6/3/2019 8:20:31 AM",26.91589,1,43619347583.125
"FIT-03","6/3/2019 8:20:31 AM",4.827679,1,43619347583.125
"PIT-02","6/3/2019 8:20:31 AM",3.127893,1,43619347583.125
"PIT-03","6/3/2019 8:20:31 AM",7.040292,1,43619347583.125
"PIT-05","6/3/2019 8:20:31 AM",1.283275,1,43619347583.125
"PIT-06","6/3/2019 8:20:31 AM",4.824038,1,43619347583.125
"FIT-01","6/3/2019 8:20:36 AM",31.75926,1,43619347640.9954
"FIT-02","6/3/2019 8:20:36 AM",26.91589,1,43619347640.9954
"FIT-03","6/3/2019 8:20:36 AM",4.827679,1,43619347640.9954
"PIT-02","6/3/2019 8:20:36 AM",3.056279,1,43619347640.9954
"PIT-03","6/3/2019 8:20:36 AM",6.997794,1,43619347640.9954
"PIT-05","6/3/2019 8:20:36 AM",1.247468,1,43619347640.9954
"PIT-06","6/3/2019 8:20:36 AM",4.787869,1,43619347640.9954
"FIT-01","6/3/2019 8:20:41 AM",31.7419,1,43619347698.8889
"FIT-02","6/3/2019 8:20:41 AM",27.30169,1,43619347698.8889
"FIT-03","6/3/2019 8:20:41 AM",4.822505,1,43619347698.8889
"PIT-02","6/3/2019 8:20:41 AM",3.076534,1,43619347698.8889
"PIT-03","6/3/2019 8:20:41 AM",7.006836,1,43619347698.8889
"PIT-05","6/3/2019 8:20:41 AM",1.251085,1,43619347698.8889
"PIT-06","6/3/2019 8:20:41 AM",4.78606,1,43619347698.8889
"FIT-01","6/3/2019 8:20:46 AM",31.75347,1,43619347756.8403
"FIT-02","6/3/2019 8:20:46 AM",27.30169,1,43619347756.8403
"FIT-03","6/3/2019 8:20:46 AM",4.821859,1,43619347756.8403
"PIT-02","6/3/2019 8:20:46 AM",3.01577,1,43619347756.8403
"PIT-03","6/3/2019 8:20:46 AM",6.975188,1,43619347756.8403
"PIT-05","6/3/2019 8:20:46 AM",1.234809,1,43619347756.8403
"PIT-06","6/3/2019 8:20:46 AM",4.763455,1,43619347756.8403
"FIT-01","6/3/2019 8:20:51 AM",31.73611,1,43619347814.7454
"FIT-02","6/3/2019 8:20:51 AM",27.30169,1,43619347814.7454
"FIT-03","6/3/2019 8:20:51 AM",4.821859,1,43619347814.7454
"PIT-02","6/3/2019 8:20:51 AM",3.036024,1,43619347814.7454
