TimeString,AIT-031,AIT-031-T,AIT-032,DPT-035,FIT-044,FT-043,P-008-PV,PT-020,PT-021,PT-022,PT-023
2020-07-03 22:52:36.300266,2.6,74.3,88.6,24.6,0.0,6.2,48.0,0.5,180.3,0.0,154.3
2020-07-03 22:52:37.520675,2.6,74.3,88.6,90.2,9.6,6.2,48.0,6553.0,167.1,0.0,27.1
2020-07-03 22:52:38.601068,2.6,74.3,88.7,35.3,8.3,6.2,48.0,6552.7,158.7,0.0,101.1
2020-07-03 22:52:39.460607,2.6,74.3,88.6,24.6,3.2,6.2,48.0,6553.0,163.1,0.0,135.8
2020-07-03 22:52:41.743593,2.6,74.3,87.8,24.8,0.3,8.3,48.0,0.0,171.2,0.1,145.1
2020-07-03 22:52:42.420492,2.6,74.3,88.1,24.9,0.0,8.3,48.0,0.0,173.2,0.1,147.3
2020-07-03 22:52:42.980920,2.6,74.3,88.2,25.0,0.0,8.3,48.0,0.1,174.6,0.1,148.1
2020-07-03 22:52:43.860348,2.6,74.3,88.2,25.0,0.0,8.3,48.0,0.2,176.1,0.0,149.6
2020-07-03 22:52:44.719538,2.6,74.3,88.2,25.1,0.0,7.4,48.0,0.3,177.2,0.0,150.9
2020-07-03 22:52:45.420979,2.6,74.3,88.2,25.0,0.0,7.4,48.0,0.3,177.9,0.0,151.7
2020-07-03 22:52:46.178164,2.6,74.3,88.1,25.0,0.0,7.4,48.0,0.4,178.6,0.1,152.2
2020-07-03 22:52:46.960695,2.6,74.3,88.3,25.0,0.0,7.4,48.0,0.4,179.0,0.1,152.6
2020-07-03 22:52:47.818382,2.6,74.3,88.1,24.9,0.0,7.4,48.0,0.5,179.3,0.0,153.1
2020-07-03 22:52:48.299051,2.6,74.3,88.3,24.9,0.0,7.4,48.0,0.5,179.4,0.0,153.1
2020-07-03 22:52:48.978756,2.6,74.3,88.1,24.9,0.0,7.4,48.0,0.5,179.7,0.1,153.4
2020-07-03 22:52:49.658464,2.6,74.3,88.1,24.7,0.0,6.4,48.0,0.4,179.8,0.1,153.5
2020-07-03 22:52:50.179363,2.6,74.3,88.1,24.7,0.0,6.4,48.0,0.5,180.0,0.1,153.8
2020-07-03 22:52:50.938588,2.6,74.3,88.0,24.7,0.0,6.4,48.0,0.5,180.0,0.0,154.0
2020-07-03 22:52:51.620216,2.6,74.3,88.0,24.7,0.0,6.4,48.0,0.5,180.1,0.0,154.1
2020-07-03 22:52:52.278563,2.6,74.3,88.0,24.6,0.0,6.4,48.0,0.4,180.2,0.1,154.2
2020-07-03 22:52:53.019327,2.6,74.3,89.3,32.2,0.0,6.4,48.0,0.5,180.3,0.1,154.3
2020-07-03 22:52:53.898392,2.6,74.3,88.1,90.2,8.7,6.4,48.0,6553.1,169.2,0.0,30.0
2020-07-03 22:52:54.579201,2.6,74.3,87.9,90.2,11.4,6.4,48.0,6552.6,161.8,0.1,24.9
2020-07-03 22:52:55.318417,2.6,74.3,87.8,27.7,5.9,6.4,48.0,6552.7,159.5,0.1,128.2
2020-07-03 22:52:56.039267,2.6,74.3,87.8,24.5,2.9,6.4,48.0,6553.0,162.5,0.0,136.8
