TimeString,AIT-031,AIT-031-T,AIT-032,DPT-035,FIT-044,FT-043,P-008-PV,PT-020,PT-021,PT-022,PT-023
2020-06-14 21:38:17.922043,2.4,75.5,55.5,90.2,8.7,6.7,48.0,6552.8,172.4,0.0,21.8
2020-06-14 21:38:19.171416,2.4,75.5,56.9,48.4,6.5,6.7,48.0,6552.4,167.0,0.0,104.9
2020-06-14 21:38:20.219459,2.4,75.5,56.7,38.9,2.3,8.0,48.0,6553.0,171.5,0.0,132.2
2020-06-14 21:38:21.472911,2.4,75.4,54.0,39.0,0.7,8.0,48.0,6553.4,176.1,0.0,136.6
2020-06-14 21:38:22.398589,2.4,75.4,54.0,39.2,0.0,8.0,48.0,0.0,178.4,0.0,138.5
2020-06-14 21:38:23.687725,2.4,75.4,54.0,39.3,0.0,8.3,48.0,0.1,180.3,0.1,140.1
2020-06-14 21:38:24.732376,2.4,75.4,54.0,39.2,0.0,8.3,48.0,0.2,181.2,0.0,140.8
2020-06-14 21:38:26.134652,2.4,75.4,53.8,39.1,0.0,8.3,48.0,0.2,181.7,0.0,141.6
2020-06-14 21:38:27.065058,2.4,75.4,53.3,38.9,0.0,8.3,48.0,0.3,181.8,0.1,141.8
2020-06-14 21:38:28.226085,2.4,75.4,53.3,38.9,0.0,7.0,48.0,0.3,182.0,0.1,142.1
