TimeString,AIT-031,AIT-031-T,AIT-032,DPT-035,FIT-044,FT-043,P-008-PV,PT-020,PT-021,PT-022,PT-023
2020-07-03 19:58:19.391578,2.6,72.6,84.0,24.3,0.0,6.8,48.0,0.5,179.3,0.0,153.6
2020-07-03 19:58:19.990184,2.6,72.6,84.2,24.3,0.0,6.8,48.0,0.5,179.4,0.1,153.9
2020-07-03 19:58:20.830767,2.6,72.6,84.1,24.2,0.0,6.8,48.0,0.6,179.7,0.1,154.2
2020-07-03 19:58:21.310283,2.6,72.6,84.3,24.1,0.0,6.8,48.0,0.6,179.8,0.1,154.2
2020-07-03 19:58:21.731017,2.6,72.6,84.0,24.1,0.0,6.8,48.0,0.6,179.9,0.0,154.5
2020-07-03 19:58:22.330056,2.6,72.6,84.1,24.1,0.0,6.8,48.0,0.6,180.0,0.1,154.6
2020-07-03 19:58:22.751162,2.6,72.6,84.2,24.0,0.0,6.8,48.0,0.6,180.0,0.0,154.7
2020-07-03 19:58:23.229964,2.6,72.6,84.2,24.0,0.0,6.8,48.0,0.6,180.1,0.0,154.8
2020-07-03 19:58:24.029497,2.6,72.6,84.3,24.0,0.0,6.3,48.0,0.6,180.2,0.0,154.8
2020-07-03 19:58:24.489703,2.6,72.6,84.1,23.9,0.0,6.3,48.0,0.6,180.3,0.1,154.9
2020-07-03 19:58:25.130800,2.6,72.6,84.1,90.2,3.3,6.3,48.0,0.1,177.4,0.1,110.4
2020-07-03 19:58:25.632619,2.6,72.6,84.0,90.2,8.1,6.3,48.0,6553.3,172.1,0.0,33.6
2020-07-03 19:58:26.128811,2.6,72.6,84.1,90.2,10.5,6.3,48.0,6552.9,163.9,0.1,26.2
2020-07-03 19:58:26.590258,2.6,72.6,83.6,55.4,10.6,6.3,48.0,6552.7,158.3,0.0,25.0
2020-07-03 19:58:27.009953,2.6,72.6,84.3,28.6,6.8,6.3,48.0,6552.9,158.8,0.0,124.8
2020-07-03 19:58:27.727177,2.6,72.6,84.1,24.2,3.8,6.3,48.0,6553.0,161.5,0.1,136.2
2020-07-03 19:58:28.110437,2.6,72.6,83.5,23.8,2.3,7.9,48.0,6553.2,164.6,0.0,140.0
2020-07-03 19:58:28.550519,2.6,72.6,83.8,23.8,1.6,7.9,48.0,6553.3,166.0,0.0,141.4
2020-07-03 19:58:28.950028,2.6,72.5,83.7,23.9,1.0,7.9,48.0,6553.5,168.6,0.0,142.6
2020-07-03 19:58:29.389563,2.6,72.6,83.5,24.1,0.7,7.9,48.0,0.0,169.7,0.1,144.7
2020-07-03 19:58:29.987895,2.6,72.6,83.6,24.3,0.0,7.9,48.0,0.0,171.8,0.0,145.6
2020-07-03 19:58:31.070498,2.6,72.6,83.8,24.3,0.0,7.9,48.0,0.1,174.0,0.1,148.0
2020-07-03 19:58:31.690763,2.6,72.6,83.9,24.4,0.0,7.9,48.0,0.3,175.8,0.0,149.6
2020-07-03 19:58:32.110066,2.6,72.6,83.8,24.5,0.0,7.8,48.0,0.3,176.3,0.1,150.6
2020-07-03 19:58:32.710885,2.6,72.5,83.8,24.4,0.0,7.8,48.0,0.4,177.0,0.0,151.3
2020-07-03 19:58:33.289522,2.6,72.6,83.5,24.5,0.0,7.8,48.0,0.4,177.7,0.1,151.6
2020-07-03 19:58:33.769990,2.6,72.6,83.8,24.4,0.0,7.8,48.0,0.5,178.0,0.1,152.2
2020-07-03 19:58:34.449998,2.6,72.5,84.1,24.4,0.0,7.8,48.0,0.5,178.5,0.0,152.9
2020-07-03 19:58:34.996904,2.6,72.6,83.8,24.3,0.0,7.8,48.0,0.5,178.8,0.1,153.1
2020-07-03 19:58:35.553165,2.6,72.6,84.1,24.3,0.0,7.8,48.0,0.5,179.0,0.1,153.4
2020-07-03 19:58:36.410479,2.6,72.6,83.8,24.2,0.0,7.8,48.0,0.5,179.4,0.1,153.9
2020-07-03 19:58:37.410558,2.6,72.6,83.9,24.3,0.0,6.6,48.0,0.6,179.7,0.1,154.1
2020-07-03 19:58:37.851178,2.6,72.6,83.8,24.2,0.0,6.6,48.0,0.6,180.0,0.1,154.3
