TimeString,AIT-031,AIT-031-T,AIT-032,DPT-035,FIT-044,FT-043,P-008-PV,PT-020,PT-021,PT-022,PT-023
2020-07-04 01:01:05.387801,2.6,75.4,90.4,25.5,0.0,6.3,48.0,0.5,179.8,0.0,153.0
2020-07-04 01:01:05.984655,2.6,75.4,90.5,25.4,0.0,6.3,48.0,0.5,179.9,0.1,153.0
2020-07-04 01:01:06.584339,2.6,75.3,90.3,25.4,0.0,6.3,48.0,0.5,179.9,0.0,153.2
2020-07-04 01:01:08.363998,2.6,75.4,90.3,90.2,9.2,6.3,48.0,6553.1,168.1,0.0,31.3
2020-07-04 01:01:08.786126,2.6,75.4,90.3,90.2,10.7,6.3,48.0,6552.8,164.2,0.0,24.9
2020-07-04 01:01:09.224128,2.6,75.4,90.3,58.6,10.4,6.3,48.0,6552.6,158.6,0.1,23.7
2020-07-04 01:01:09.747644,2.6,75.4,90.3,29.7,6.3,7.2,48.0,6552.7,158.8,0.0,124.5
2020-07-04 01:01:10.242988,2.6,75.4,90.4,25.7,3.8,7.2,48.0,6553.0,161.5,0.0,135.1
2020-07-04 01:01:10.785185,2.6,75.4,90.5,25.2,2.2,7.2,48.0,6553.1,164.5,0.0,137.3
2020-07-04 01:01:11.245371,2.6,75.4,89.5,25.3,1.4,7.2,48.0,6553.2,166.0,0.0,140.3
2020-07-04 01:01:11.727005,2.6,75.4,89.5,25.4,0.8,7.2,48.0,6553.4,168.4,0.0,141.3
2020-07-04 01:01:12.304484,2.6,75.4,89.3,25.5,0.5,7.2,48.0,6553.5,170.5,0.0,143.5
2020-07-04 01:01:12.772988,2.6,75.4,89.5,25.5,0.0,7.2,48.0,0.0,171.5,0.1,144.4
2020-07-04 01:01:13.185935,2.6,75.4,89.6,25.7,0.0,7.2,48.0,0.0,173.2,0.0,146.0
2020-07-04 01:01:14.165085,2.6,75.5,89.5,25.9,0.0,8.2,48.0,0.1,175.1,0.0,147.9
2020-07-04 01:01:14.786218,2.6,75.5,89.6,25.9,0.0,8.2,48.0,0.2,176.1,0.0,148.8
2020-07-04 01:01:15.484918,2.6,75.5,89.8,25.9,0.0,8.2,48.0,0.2,176.8,0.0,149.6
2020-07-04 01:01:16.045521,2.6,75.5,89.8,25.9,0.0,8.2,48.0,0.3,177.5,0.1,150.2
2020-07-04 01:01:16.461004,2.6,75.5,89.6,25.8,0.0,8.2,48.0,0.3,177.8,0.1,150.8
2020-07-04 01:01:17.105208,2.6,75.5,89.6,25.8,0.0,8.2,48.0,0.3,178.2,0.0,151.2
2020-07-04 01:01:17.705007,2.6,75.5,89.6,25.8,0.0,8.2,48.0,0.4,178.5,0.0,151.5
2020-07-04 01:01:18.804990,2.6,75.5,89.6,25.7,0.0,6.7,48.0,0.4,179.0,0.1,152.1
2020-07-04 01:01:19.285919,2.6,75.5,89.3,25.6,0.0,6.7,48.0,0.4,179.1,0.0,152.3
2020-07-04 01:01:19.827546,2.6,75.5,89.5,25.7,0.0,6.7,48.0,0.4,179.4,0.1,152.5
2020-07-04 01:01:20.625713,2.6,75.5,89.5,25.6,0.0,6.7,48.0,0.4,179.6,0.1,152.6
2020-07-04 01:01:21.225584,2.6,75.5,89.8,25.5,0.0,6.7,48.0,0.4,179.7,0.1,152.7
2020-07-04 01:01:21.980627,2.6,75.5,89.9,25.5,0.0,6.7,48.0,0.5,179.8,0.0,152.9
2020-07-04 01:01:22.547684,2.6,75.5,89.8,25.5,0.0,6.7,48.0,0.5,180.0,0.1,153.1
2020-07-04 01:01:23.145554,2.6,75.5,89.8,25.4,0.0,6.7,48.0,0.5,180.0,0.0,153.1
2020-07-04 01:01:23.744855,2.6,75.5,89.8,25.3,0.0,6.3,48.0,0.5,180.0,0.1,153.3
2020-07-04 01:01:24.225677,2.6,75.5,89.8,90.2,2.8,6.3,48.0,0.1,179.4,0.1,117.4
2020-07-04 01:01:24.824759,2.6,75.5,89.8,90.2,9.0,6.3,48.0,6553.1,169.7,0.1,30.9
2020-07-04 01:01:25.605767,2.6,75.4,89.6,90.0,11.5,6.3,48.0,6552.6,159.1,0.1,24.0
2020-07-04 01:01:26.261412,2.6,75.5,89.9,29.5,6.3,6.3,48.0,6552.7,159.4,0.0,125.5
2020-07-04 01:01:27.365503,2.6,75.5,88.6,25.2,2.2,8.0,48.0,6553.1,164.0,0.1,137.4
2020-07-04 01:01:27.905187,2.6,75.5,88.6,25.3,1.2,8.0,48.0,6553.3,166.8,0.1,140.4
2020-07-04 01:01:28.385670,2.6,75.5,88.7,25.4,0.7,8.0,48.0,6553.5,169.2,0.1,142.5
